order_item_id,order_id,product_id,quantity,unit_price
ITEM-000001,ORDER-00001,PROD-0064,2,168.44
ITEM-000002,ORDER-00001,PROD-0141,1,172.28
ITEM-000003,ORDER-00001,PROD-0118,1,183.47
ITEM-000004,ORDER-00001,PROD-0030,1,108.98
ITEM-000005,ORDER-00002,PROD-0314,2,33.75
ITEM-000006,ORDER-00002,PROD-0389,1,160.25
ITEM-000007,ORDER-00002,PROD-0275,1,61.8
ITEM-000008,ORDER-00002,PROD-0261,3,160.84
ITEM-000009,ORDER-00003,PROD-0057,1,92.46
ITEM-000010,ORDER-00003,PROD-0276,1,32.76
ITEM-000011,ORDER-00003,PROD-0068,1,133.0
ITEM-000012,ORDER-00004,PROD-0027,3,140.64
ITEM-000013,ORDER-00005,PROD-0075,1,126.93
ITEM-000014,ORDER-00006,PROD-0143,1,94.45
ITEM-000015,ORDER-00007,PROD-0012,2,128.69
ITEM-000016,ORDER-00007,PROD-0378,2,7.46
ITEM-000017,ORDER-00007,PROD-0288,1,168.14
ITEM-000018,ORDER-00007,PROD-0217,2,42.09
ITEM-000019,ORDER-00008,PROD-0184,1,20.35
ITEM-000020,ORDER-00008,PROD-0308,2,196.35
ITEM-000021,ORDER-00008,PROD-0130,2,79.79
ITEM-000022,ORDER-00008,PROD-0104,2,84.44
ITEM-000023,ORDER-00009,PROD-0114,2,96.72
ITEM-000024,ORDER-00009,PROD-0234,1,158.66
ITEM-000025,ORDER-00010,PROD-0433,2,25.67
ITEM-000026,ORDER-00010,PROD-0166,1,161.96
ITEM-000027,ORDER-00010,PROD-0239,3,101.94
ITEM-000028,ORDER-00011,PROD-0171,2,103.43
ITEM-000029,ORDER-00011,PROD-0282,1,37.2
ITEM-000030,ORDER-00012,PROD-0145,1,36.17
ITEM-000031,ORDER-00012,PROD-0066,3,116.19
ITEM-000032,ORDER-00012,PROD-0258,3,54.4
ITEM-000033,ORDER-00013,PROD-0111,3,21.66
ITEM-000034,ORDER-00013,PROD-0334,2,125.32
ITEM-000035,ORDER-00013,PROD-0217,3,7.32
ITEM-000036,ORDER-00013,PROD-0384,1,114.37
ITEM-000037,ORDER-00014,PROD-0007,1,135.15
ITEM-000038,ORDER-00014,PROD-0052,1,102.52
ITEM-000039,ORDER-00014,PROD-0121,3,23.92
ITEM-000040,ORDER-00014,PROD-0190,1,39.39
ITEM-000041,ORDER-00015,PROD-0354,3,155.14
ITEM-000042,ORDER-00015,PROD-0052,1,189.12
ITEM-000043,ORDER-00015,PROD-0366,3,164.82
ITEM-000044,ORDER-00015,PROD-0350,3,104.08
ITEM-000045,ORDER-00016,PROD-0063,1,117.07
ITEM-000046,ORDER-00017,PROD-0163,3,132.57
ITEM-000047,ORDER-00017,PROD-0409,3,48.69
ITEM-000048,ORDER-00017,PROD-0088,2,96.06
ITEM-000049,ORDER-00017,PROD-0254,3,187.02
ITEM-000050,ORDER-00018,PROD-0252,1,33.08
ITEM-000051,ORDER-00018,PROD-0239,2,74.64
ITEM-000052,ORDER-00019,PROD-0022,2,32.13
ITEM-000053,ORDER-00020,PROD-0344,2,13.76
ITEM-000054,ORDER-00021,PROD-0071,1,128.0
ITEM-000055,ORDER-00022,PROD-0333,2,22.43
ITEM-000056,ORDER-00022,PROD-0125,3,192.25
ITEM-000057,ORDER-00023,PROD-0009,3,10.25
ITEM-000058,ORDER-00023,PROD-0472,3,176.73
ITEM-000059,ORDER-00024,PROD-0100,3,37.35
ITEM-000060,ORDER-00024,PROD-0310,1,39.11
ITEM-000061,ORDER-00025,PROD-0209,3,89.42
ITEM-000062,ORDER-00025,PROD-0238,1,27.54
ITEM-000063,ORDER-00025,PROD-0460,3,73.44
ITEM-000064,ORDER-00026,PROD-0479,1,136.83
ITEM-000065,ORDER-00027,PROD-0297,3,159.06
ITEM-000066,ORDER-00028,PROD-0199,2,88.76
ITEM-000067,ORDER-00028,PROD-0154,1,79.06
ITEM-000068,ORDER-00029,PROD-0075,1,78.12
ITEM-000069,ORDER-00030,PROD-0232,3,171.43
ITEM-000070,ORDER-00030,PROD-0367,2,16.39
ITEM-000071,ORDER-00031,PROD-0085,1,177.94
ITEM-000072,ORDER-00031,PROD-0282,3,198.37
ITEM-000073,ORDER-00031,PROD-0357,2,167.41
ITEM-000074,ORDER-00032,PROD-0204,3,58.43
ITEM-000075,ORDER-00032,PROD-0411,2,116.75
ITEM-000076,ORDER-00032,PROD-0471,1,184.78
ITEM-000077,ORDER-00033,PROD-0114,3,115.16
ITEM-000078,ORDER-00033,PROD-0155,3,35.12
ITEM-000079,ORDER-00034,PROD-0140,1,81.6
ITEM-000080,ORDER-00034,PROD-0233,1,95.29
ITEM-000081,ORDER-00035,PROD-0239,2,177.2
ITEM-000082,ORDER-00035,PROD-0006,2,13.63
ITEM-000083,ORDER-00036,PROD-0231,2,62.87
ITEM-000084,ORDER-00036,PROD-0454,2,147.21
ITEM-000085,ORDER-00037,PROD-0312,2,86.55
ITEM-000086,ORDER-00038,PROD-0109,3,76.17
ITEM-000087,ORDER-00039,PROD-0234,3,36.99
ITEM-000088,ORDER-00039,PROD-0343,1,7.01
ITEM-000089,ORDER-00039,PROD-0494,2,186.47
ITEM-000090,ORDER-00039,PROD-0367,1,181.17
ITEM-000091,ORDER-00040,PROD-0087,2,73.87
ITEM-000092,ORDER-00040,PROD-0049,1,13.14
ITEM-000093,ORDER-00040,PROD-0175,2,193.85
ITEM-000094,ORDER-00040,PROD-0017,3,100.97
ITEM-000095,ORDER-00041,PROD-0463,3,26.96
ITEM-000096,ORDER-00041,PROD-0468,1,123.35
ITEM-000097,ORDER-00041,PROD-0208,2,81.97
ITEM-000098,ORDER-00042,PROD-0150,2,50.7
ITEM-000099,ORDER-00042,PROD-0070,3,43.67
ITEM-000100,ORDER-00043,PROD-0400,2,38.65
ITEM-000101,ORDER-00043,PROD-0385,2,6.69
ITEM-000102,ORDER-00043,PROD-0009,2,107.11
ITEM-000103,ORDER-00043,PROD-0461,1,81.52
ITEM-000104,ORDER-00044,PROD-0488,2,94.69
ITEM-000105,ORDER-00044,PROD-0237,2,159.57
ITEM-000106,ORDER-00044,PROD-0161,3,22.6
ITEM-000107,ORDER-00045,PROD-0262,1,95.68
ITEM-000108,ORDER-00046,PROD-0473,3,87.06
ITEM-000109,ORDER-00047,PROD-0427,2,49.83
ITEM-000110,ORDER-00048,PROD-0420,1,180.8
ITEM-000111,ORDER-00048,PROD-0110,3,190.4
ITEM-000112,ORDER-00048,PROD-0216,3,20.61
ITEM-000113,ORDER-00048,PROD-0127,2,36.46
ITEM-000114,ORDER-00049,PROD-0145,3,121.54
ITEM-000115,ORDER-00049,PROD-0248,2,19.62
ITEM-000116,ORDER-00049,PROD-0360,3,137.13
ITEM-000117,ORDER-00049,PROD-0322,2,195.49
ITEM-000118,ORDER-00050,PROD-0384,2,106.59
ITEM-000119,ORDER-00051,PROD-0388,1,146.59
ITEM-000120,ORDER-00051,PROD-0487,3,74.88
ITEM-000121,ORDER-00052,PROD-0159,2,154.55
ITEM-000122,ORDER-00053,PROD-0192,1,130.75
ITEM-000123,ORDER-00054,PROD-0465,1,158.77
ITEM-000124,ORDER-00054,PROD-0361,1,100.37
ITEM-000125,ORDER-00054,PROD-0243,2,195.74
ITEM-000126,ORDER-00054,PROD-0019,2,129.07
ITEM-000127,ORDER-00055,PROD-0058,3,112.76
ITEM-000128,ORDER-00055,PROD-0005,1,48.4
ITEM-000129,ORDER-00056,PROD-0029,2,169.45
ITEM-000130,ORDER-00056,PROD-0329,3,108.21
ITEM-000131,ORDER-00056,PROD-0239,1,92.3
ITEM-000132,ORDER-00056,PROD-0300,2,109.7
ITEM-000133,ORDER-00057,PROD-0347,3,103.41
ITEM-000134,ORDER-00057,PROD-0289,1,31.04
ITEM-000135,ORDER-00057,PROD-0138,2,33.02
ITEM-000136,ORDER-00057,PROD-0131,1,184.61
ITEM-000137,ORDER-00058,PROD-0195,3,94.53
ITEM-000138,ORDER-00058,PROD-0454,3,83.61
ITEM-000139,ORDER-00059,PROD-0031,2,53.36
ITEM-000140,ORDER-00059,PROD-0394,3,126.49
ITEM-000141,ORDER-00059,PROD-0238,3,98.41
ITEM-000142,ORDER-00059,PROD-0295,3,161.36
ITEM-000143,ORDER-00060,PROD-0028,1,79.02
ITEM-000144,ORDER-00060,PROD-0114,2,105.55
ITEM-000145,ORDER-00060,PROD-0071,2,58.76
ITEM-000146,ORDER-00060,PROD-0165,2,134.55
ITEM-000147,ORDER-00061,PROD-0075,2,186.47
ITEM-000148,ORDER-00061,PROD-0286,2,71.17
ITEM-000149,ORDER-00062,PROD-0398,3,152.79
ITEM-000150,ORDER-00062,PROD-0312,2,41.8
ITEM-000151,ORDER-00063,PROD-0040,2,156.98
ITEM-000152,ORDER-00063,PROD-0116,1,165.17
ITEM-000153,ORDER-00063,PROD-0437,1,147.86
ITEM-000154,ORDER-00063,PROD-0367,2,66.74
ITEM-000155,ORDER-00064,PROD-0463,1,48.11
ITEM-000156,ORDER-00065,PROD-0290,2,172.4
ITEM-000157,ORDER-00066,PROD-0433,3,18.47
ITEM-000158,ORDER-00066,PROD-0091,2,104.98
ITEM-000159,ORDER-00066,PROD-0287,2,180.79
ITEM-000160,ORDER-00067,PROD-0249,1,182.82
ITEM-000161,ORDER-00067,PROD-0303,3,57.11
ITEM-000162,ORDER-00068,PROD-0207,3,185.85
ITEM-000163,ORDER-00068,PROD-0224,1,163.65
ITEM-000164,ORDER-00068,PROD-0204,2,62.7
ITEM-000165,ORDER-00069,PROD-0261,3,96.02
ITEM-000166,ORDER-00070,PROD-0400,3,55.37
ITEM-000167,ORDER-00070,PROD-0471,2,80.49
ITEM-000168,ORDER-00070,PROD-0095,3,30.34
ITEM-000169,ORDER-00070,PROD-0416,3,166.8
ITEM-000170,ORDER-00071,PROD-0416,1,179.58
ITEM-000171,ORDER-00071,PROD-0379,1,172.09
ITEM-000172,ORDER-00072,PROD-0462,1,78.52
ITEM-000173,ORDER-00073,PROD-0081,3,39.65
ITEM-000174,ORDER-00073,PROD-0303,2,94.96
ITEM-000175,ORDER-00073,PROD-0429,3,181.51
ITEM-000176,ORDER-00074,PROD-0424,3,32.28
ITEM-000177,ORDER-00074,PROD-0350,1,162.21
ITEM-000178,ORDER-00075,PROD-0402,1,112.11
ITEM-000179,ORDER-00075,PROD-0091,2,78.26
ITEM-000180,ORDER-00075,PROD-0370,3,51.8
ITEM-000181,ORDER-00076,PROD-0109,2,80.36
ITEM-000182,ORDER-00077,PROD-0004,1,166.09
ITEM-000183,ORDER-00077,PROD-0219,1,196.9
ITEM-000184,ORDER-00078,PROD-0023,1,174.18
ITEM-000185,ORDER-00078,PROD-0424,2,165.53
ITEM-000186,ORDER-00079,PROD-0414,3,53.19
ITEM-000187,ORDER-00080,PROD-0139,3,177.06
ITEM-000188,ORDER-00081,PROD-0159,2,143.86
ITEM-000189,ORDER-00082,PROD-0210,1,161.51
