event_id,order_id,carrier,tracking_number,ship_date,delivery_status,event_timestamp
EVT-000001,ORDER-00002,ups,220933649193,2026-08-07,label_created,2026-08-07 05:00:00
EVT-000002,ORDER-00002,fedex,286704952916,2026-08-07,in_transit,2026-08-07 06:00:00
EVT-000003,ORDER-00003,dhl,005406115922,2026-08-21,label_created,2026-08-21 05:00:00
EVT-000004,ORDER-00005,fedex,440809767771,2026-07-01,label_created,2026-07-01 04:00:00
EVT-000005,ORDER-00005,ups,368506556198,2026-07-01,in_transit,2026-07-01 09:00:00
EVT-000006,ORDER-00006,ups,733260786507,2026-06-23,label_created,2026-06-23 00:00:00
EVT-000007,ORDER-00007,dhl,578361110298,2026-09-14,label_created,2026-09-14 02:00:00
EVT-000008,ORDER-00007,ups,272182132243,2026-09-14,in_transit,2026-09-14 10:00:00
EVT-000009,ORDER-00007,fedex,358575403777,2026-09-14,out_for_delivery,2026-09-14 17:00:00
EVT-000010,ORDER-00008,fedex,698427373654,2026-07-11,label_created,2026-07-11 01:00:00
EVT-000011,ORDER-00008,usps,444393922433,2026-07-11,in_transit,2026-07-11 06:00:00
EVT-000012,ORDER-00008,fedex,626687916329,2026-07-11,out_for_delivery,2026-07-11 17:00:00
EVT-000013,ORDER-00010,ups,922263117006,2026-09-03,label_created,2026-09-03 02:00:00
EVT-000014,ORDER-00012,ups,924631631953,2026-09-08,label_created,2026-09-08 00:00:00
EVT-000015,ORDER-00013,ups,765444466735,2026-07-02,label_created,2026-07-02 05:00:00
EVT-000016,ORDER-00013,ups,714524874596,2026-07-02,in_transit,2026-07-02 07:00:00
EVT-000017,ORDER-00013,ups,238280634986,2026-07-02,out_for_delivery,2026-07-02 17:00:00
EVT-000018,ORDER-00015,usps,044174181900,2026-08-28,label_created,2026-08-28 02:00:00
EVT-000019,ORDER-00015,usps,121661265025,2026-08-28,in_transit,2026-08-28 07:00:00
EVT-000020,ORDER-00016,usps,951933984779,2026-07-30,label_created,2026-07-30 04:00:00
EVT-000021,ORDER-00016,usps,444623927684,2026-07-30,in_transit,2026-07-30 07:00:00
EVT-000022,ORDER-00017,ups,946663898150,2026-07-09,label_created,2026-07-09 05:00:00
EVT-000023,ORDER-00018,usps,266507493479,2026-07-11,label_created,2026-07-11 04:00:00
EVT-000024,ORDER-00018,dhl,797683001936,2026-07-11,in_transit,2026-07-11 11:00:00
EVT-000025,ORDER-00019,usps,266974045070,2026-06-05,label_created,2026-06-05 02:00:00
EVT-000026,ORDER-00020,usps,565678353814,2026-06-16,label_created,2026-06-16 00:00:00
EVT-000027,ORDER-00021,fedex,377857484445,2026-06-07,label_created,2026-06-07 02:00:00
EVT-000028,ORDER-00021,fedex,488262365543,2026-06-07,in_transit,2026-06-07 09:00:00
EVT-000029,ORDER-00022,dhl,092801608844,2026-07-04,label_created,2026-07-04 05:00:00
EVT-000030,ORDER-00022,ups,996567219958,2026-07-04,in_transit,2026-07-04 06:00:00
EVT-000031,ORDER-00022,usps,054774918718,2026-07-04,out_for_delivery,2026-07-04 15:00:00
EVT-000032,ORDER-00025,dhl,378860320160,2026-07-20,label_created,2026-07-20 05:00:00
EVT-000033,ORDER-00025,ups,607857276181,2026-07-20,in_transit,2026-07-20 07:00:00
EVT-000034,ORDER-00026,usps,385499352430,2026-08-06,label_created,2026-08-06 04:00:00
EVT-000035,ORDER-00027,ups,170277004443,2026-06-07,label_created,2026-06-07 03:00:00
EVT-000036,ORDER-00027,ups,780671118091,2026-06-07,in_transit,2026-06-07 09:00:00
EVT-000037,ORDER-00028,ups,897694740498,2026-06-15,label_created,2026-06-15 01:00:00
EVT-000038,ORDER-00029,fedex,769839695333,2026-09-14,label_created,2026-09-14 04:00:00
EVT-000039,ORDER-00029,usps,545063469783,2026-09-14,in_transit,2026-09-14 11:00:00
EVT-000040,ORDER-00029,fedex,374775866735,2026-09-14,out_for_delivery,2026-09-14 16:00:00
EVT-000041,ORDER-00031,fedex,620270528027,2026-07-09,label_created,2026-07-09 00:00:00
EVT-000042,ORDER-00032,dhl,749199458790,2026-07-30,label_created,2026-07-30 04:00:00
EVT-000043,ORDER-00034,dhl,571882564626,2026-09-10,label_created,2026-09-10 05:00:00
