ticket_id,customer_id,ticket_status,created_at
TICKET-00001,CUST-00001,open,2026-09-08 08:58:00
TICKET-00002,CUST-00004,open,2026-08-21 22:18:00
TICKET-00003,CUST-00004,closed,2026-08-26 14:26:00
TICKET-00004,CUST-00008,closed,2026-06-25 22:09:00
TICKET-00005,CUST-00009,closed,2026-06-26 02:53:00
TICKET-00006,CUST-00011,closed,2026-08-05 02:36:00
TICKET-00007,CUST-00011,open,2026-09-15 15:35:00
TICKET-00008,CUST-00014,closed,2026-09-06 21:43:00
TICKET-00009,CUST-00017,closed,2026-09-05 05:56:00
TICKET-00010,CUST-00017,closed,2026-09-13 21:02:00
TICKET-00011,CUST-00019,closed,2026-09-06 20:35:00
TICKET-00012,CUST-00021,closed,2026-08-07 07:13:00
TICKET-00013,CUST-00021,closed,2026-08-19 11:50:00
TICKET-00014,CUST-00025,closed,2026-08-27 14:10:00
TICKET-00015,CUST-00025,closed,2026-08-14 07:11:00
TICKET-00016,CUST-00027,closed,2026-08-31 05:41:00
TICKET-00017,CUST-00031,pending,2026-07-22 08:43:00
TICKET-00018,CUST-00034,closed,2026-08-11 06:10:00
TICKET-00019,CUST-00038,pending,2026-07-17 05:05:00
TICKET-00020,CUST-00038,closed,2026-08-09 11:19:00
TICKET-00021,CUST-00042,closed,2026-09-11 13:21:00
TICKET-00022,CUST-00043,closed,2026-07-19 17:35:00
TICKET-00023,CUST-00043,closed,2026-06-26 09:38:00
TICKET-00024,CUST-00061,closed,2026-06-26 17:47:00
TICKET-00025,CUST-00061,closed,2026-08-16 17:02:00
TICKET-00026,CUST-00062,closed,2026-08-03 07:07:00
TICKET-00027,CUST-00062,closed,2026-09-13 22:53:00
TICKET-00028,CUST-00068,closed,2026-09-12 05:16:00
TICKET-00029,CUST-00069,closed,2026-09-16 20:45:00
TICKET-00030,CUST-00069,closed,2026-08-04 06:33:00
TICKET-00031,CUST-00077,closed,2026-08-17 12:09:00
TICKET-00032,CUST-00086,closed,2026-09-18 04:04:00
TICKET-00033,CUST-00088,pending,2026-09-09 00:15:00
TICKET-00034,CUST-00088,closed,2026-08-30 11:30:00
TICKET-00035,CUST-00089,closed,2026-07-17 19:15:00
TICKET-00036,CUST-00091,closed,2026-09-23 11:48:00
TICKET-00037,CUST-00091,closed,2026-08-16 18:44:00
TICKET-00038,CUST-00098,closed,2026-08-22 05:05:00
TICKET-00039,CUST-00098,closed,2026-07-10 12:20:00
TICKET-00040,CUST-00099,closed,2026-09-06 14:17:00
TICKET-00041,CUST-00099,closed,2026-09-17 20:40:00
TICKET-00042,CUST-00105,closed,2026-09-21 08:21:00
TICKET-00043,CUST-00105,closed,2026-08-25 01:06:00
TICKET-00044,CUST-00106,closed,2026-09-10 01:21:00
TICKET-00045,CUST-00106,closed,2026-09-11 13:04:00
TICKET-00046,CUST-00109,pending,2026-07-20 11:04:00
TICKET-00047,CUST-00110,closed,2026-09-01 09:10:00
TICKET-00048,CUST-00110,closed,2026-08-11 22:59:00
TICKET-00049,CUST-00112,closed,2026-08-17 01:13:00
